showid,title,showlink
896,100% Pascal-sensei,/shows/100-pascal-sensei
928,18if,/shows/18if
800,3-gatsu no Lion,/shows/3-gatsu-no-lion
808,3-Nen D-Gumi Glass no Kamen,/shows/3-nen-d-gumi-glass-no-kamen
1067,3D Kanojo Real Girl,/shows/3d-kanojo-real-girl
731,91 Days,/shows/91-days
1054,A.I.C.O. – Incarnation,/shows/a-i-c-o-incarnation
1,Absolute Duo,/shows/absolute-duo
838,ACCA – 13-ku Kansatsu-ka,/shows/acca-13-ku-kansatsu-ka
654,Ace Attorney,/shows/ace-attorney
1173,Ace Attorney S2,/shows/ace-attorney-s2
2,Ace of Diamond,/shows/ace-of-diamond
1233,Ace of Diamond Act II,/shows/ace-of-diamond-act-ii
3,Ace of Diamond S2,/shows/ace-of-diamond-s2
933,Action Heroine Cheer Fruits,/shows/action-heroine-cheer-fruits
608,Active Raid,/shows/active-raid
738,Active Raid S2,/shows/active-raid-s2
1320,Actors – Songs Connection,/shows/actors-songs-connection
1322,Africa no Salaryman,/shows/africa-no-salaryman
1301,Ahiru no Sora,/shows/ahiru-no-sora
916,Aho Girl,/shows/aho-girl
4,Ai-Mai-Mi,/shows/ai-mai-mi
5,Ai-Mai-Mi – Mousou Catastrophie,/shows/ai-mai-mi-mousou-catastrophie
817,Ai-Mai-Mi – Surgical Friends,/shows/ai-mai-mi-surgical-friends
6,AIURA,/shows/aiura
7,Akagami no Shirayukihime,/shows/akagami-no-shirayukihime
8,Akame ga Kill!,/shows/akame-ga-kill
1155,Akanesasu Shoujo,/shows/akanesasu-shoujo
9,Akatsuki no Yona,/shows/akatsuki-no-yona
10,AKB0048,/shows/akb0048
818,Akiba’s Trip The Animation,/shows/akibas-trip-the-animation
1075,Akkun to Kanojo,/shows/akkun-to-kanojo
11,Aku no Hana,/shows/aku-no-hana
12,Akuma no Riddle,/shows/akuma-no-riddle
730,Alderamin on the Sky,/shows/alderamin-on-the-sky
13,Aldnoah Zero,/shows/aldnoah-zero
1069,Alice or Alice,/shows/alice-or-alice
859,Alice to Zouroku,/shows/alice-to-zouroku
792,All Out!!,/shows/all-out
713,Amaama to Inazuma,/shows/amaama-to-inazuma
729,Amanchu!,/shows/amanchu
1083,Amanchu! Advance,/shows/amanchu-advance
1241,Amazing Stranger,/shows/amazing-stranger
969,Ame-con!!,/shows/ame-con
14,Ame-iro Cocoa,/shows/ame-iro-cocoa
1209,Ame-iro Cocoa – Side G,/shows/ame-iro-cocoa-side-g
581,Ame-iro Cocoa S2,/shows/ame-iro-cocoa-s2
15,Amnesia,/shows/amnesia
737,Ange Vierge,/shows/ange-vierge
1133,Angolmois – Genkou Kassenki,/shows/angolmois-genkou-kassenki
583,Ani Tore! EX,/shows/ani-tore-ex
782,Ani Tore! XX,/shows/ani-tore-xx
1181,Anima Yell!,/shows/anima-yell
16,Anime de Wakaru Shinryounaika,/shows/anime-de-wakaru-shinryounaika
993,Animegataris,/shows/animegataris
673,Anne Happy,/shows/anne-happy
17,Ano Natsu de Matteru,/shows/ano-natsu-de-matteru
18,Anohana (Live Action),/shows/anohana-live-action
19,Another,/shows/another
20,Ao Haru Ride,/shows/ao-haru-ride
825,Ao no Exorcist – Kyoto Fujouou-hen,/shows/ao-no-exorcist-kyoto-fujouou-hen
638,Ao no Kanata no Four Rhythm,/shows/ao-no-kanata-no-four-rhythm
769,Ao Oni The Animation,/shows/ao-oni-the-animation
852,Ao Oni The Animation Movie,/shows/ao-oni-the-animation-movie
21,Aoharu x Kikanjuu,/shows/aoharu-x-kikanjuu
22,Aoi Sekai no Chuushin de,/shows/aoi-sekai-no-chuushin-de
23,Aquarion Logos,/shows/aquarion-logos
1271,Araburu Kisetsu no Otome-domo yo.,/shows/araburu-kisetsu-no-otome-domo-yo
24,Arata Kangatari,/shows/arata-kangatari
25,Argevollen,/shows/argevollen
1285,Arifureta Shokugyou de Sekai Saikyou,/shows/arifureta-shokugyou-de-sekai-saikyou
26,Arpeggio of Blue Steel – Ars Nova,/shows/arpeggio-of-blue-steel-ars-nova
27,Arslan Senki,/shows/arslan-senki
27,Arslan Senki S2,/shows/arslan-senki
1108,Aru Zombie Shoujo no Sainan,/shows/aru-zombie-shoujo-no-sainan
28,Ashita no Joe 2,/shows/ashita-no-joe-2
1127,Asobi Asobase,/shows/asobi-asobase
29,Assassination Classroom,/shows/assassination-classroom
609,Assassination Classroom S2,/shows/assassination-classroom-s2
1332,Assassins Pride,/shows/assassins-pride
898,Atom – The Beginning,/shows/atom-the-beginning
1310,Azur Lane,/shows/azur-lane
1053,B – The Beginning,/shows/b-the-beginning
704,B-Project,/shows/b-project
1221,B-Project S2,/shows/b-project-s2
30,Baby Steps,/shows/baby-steps
31,Baby Steps 2,/shows/baby-steps-2
1321,Babylon,/shows/babylon
1163,Bakumatsu,/shows/bakumatsu
1235,Bakumatsu Crisis,/shows/bakumatsu-crisis
32,BAKUMATSU GIJINDEN ROMAN,/shows/bakumatsu-gijinden-roman
33,Bakumatsu Rock,/shows/bakumatsu-rock
665,Bakuon!!,/shows/bakuon
926,Ballroom e Youkoso,/shows/ballroom-e-youkoso
1112,Banana Fish,/shows/banana-fish
710,Bananya,/shows/bananya
1300,Bananya S2,/shows/bananya-s2
851,BanG Dream!,/shows/bang-dream
1198,BanG Dream! S2,/shows/bang-dream-s2
34,Barakamon,/shows/barakamon
1027,Basilisk – Ouka Ninpouchou,/shows/basilisk-ouka-ninpouchou
744,Battery,/shows/battery
912,Battle Girl High School,/shows/battle-girl-high-school
35,Battle Girls – Time Paradox,/shows/battle-girls-time-paradox
1047,Beatless,/shows/beatless
36,Beelzebub,/shows/beelzebub
1190,Beelzebub-jou no Okinimesu mama.,/shows/beelzebub-jou-no-okinimesu-mama
1295,Bem,/shows/bem
1225,Bermuda Triangle – Colorful Pastrale,/shows/bermuda-triangle-colorful-pastrale
793,Bernard Jou Iwaku.,/shows/bernard-jou-iwaku
696,Berserk,/shows/berserk
688,Big Order,/shows/big-order
37,Bikini Warriors,/shows/bikini-warriors
38,Binan Koukou Chikyuu Bouei-bu Love!,/shows/binan-koukou-chikyuu-bouei-bu-love
1005,Binan Koukou Chikyuu Bouei-bu Love! Love! Love!,/shows/binan-koukou-chikyuu-bouei-bu-love-love-love
726,Binan Koukou Chikyuu Bouei-bu Love! S2,/shows/binan-koukou-chikyuu-bouei-bu-love-s2
1088,Binan Koukou Chikyuu Bouei-bu Love! S3,/shows/binan-koukou-chikyuu-bouei-bu-love-s3
671,Bishoujo Yuugi Unit Crane Game Girls,/shows/bishoujo-yuugi-unit-crane-game-girls
784,Bishoujo Yuugi Unit Crane Game Girls Galaxy,/shows/bishoujo-yuugi-unit-crane-game-girls-galaxy
39,Black Bullet,/shows/black-bullet
959,Black Clover,/shows/black-clover
1314,BLACKFOX,/shows/blackfox
40,Blade and Soul,/shows/blade-and-soul
955,Blade Runner Black Out 2022,/shows/blade-runner-black-out-2022
899,Blame! Movie,/shows/blame-movie
41,BlazBlue – Alter Memory,/shows/blazblue-alter-memory
42,Bleach,/shows/bleach
987,Blend S,/shows/blend-s
43,Blood Lad,/shows/blood-lad
44,Blood-C,/shows/blood-c
756,Bloodivores,/shows/bloodivores
611,Boku dake ga Inai Machi,/shows/boku-dake-ga-inai-machi
659,Boku no Hero Academia,/shows/boku-no-hero-academia
45,Boku no Imouto wa Osaka Okan,/shows/boku-no-imouto-wa-osaka-okan
1001,Boku no Kanojo ga Majimesugiru Sho-bitch na Ken,/shows/boku-no-kanojo-ga-majimesugiru-sho-bitch-na-ken
46,Bokura wa Minna Kawaisou,/shows/bokura-wa-minna-kawaisou
1245,Bokutachi wa Benkyou ga Dekinai,/shows/bokutachi-wa-benkyou-ga-dekinai
1317,Bokutachi wa Benkyou ga Dekinai S2,/shows/bokutachi-wa-benkyou-ga-dekinai-s2
47,Bonjour Sweet Love Patisserie,/shows/bonjour-sweet-love-patisserie
694,Bonobono,/shows/bonobono
1199,Boogiepop wa Warawanai (2019),/shows/boogiepop-wa-warawanai-2019
869,Boruto – Naruto Next Generations,/shows/boruto-naruto-next-generations
48,Bottom Biting Bug,/shows/bottom-biting-bug
48,Bottom Biting Bug S2,/shows/bottom-biting-bug
48,Bottom Biting Bug S3,/shows/bottom-biting-bug
48,Bottom Biting Bug S4,/shows/bottom-biting-bug
52,Brave 10,/shows/brave-10
582,Brave Beats,/shows/brave-beats
788,Brave Witches,/shows/brave-witches
647,Brotherhood – Final Fantasy XV,/shows/brotherhood-final-fantasy-xv
53,Brothers Conflict,/shows/brothers-conflict
54,Brynhildr in the Darkness,/shows/brynhildr-in-the-darkness
55,BTOOOM!,/shows/btooom
626,Bubuki Buranki,/shows/bubuki-buranki
56,Buddy Complex,/shows/buddy-complex
56,Buddy Complex Final Chapter,/shows/buddy-complex
670,Bungou Stray Dogs,/shows/bungou-stray-dogs
1148,Bungou Stray Dogs – Dead Apple,/shows/bungou-stray-dogs-dead-apple
871,Busou Shoujo Machiavellianism,/shows/busou-shoujo-machiavellianism
1094,Butlers – Chitose Momotose Monogatari,/shows/butlers-chitose-momotose-monogatari
1086,Caligula,/shows/caligula
58,Campione!,/shows/campione
59,Captain Earth,/shows/captain-earth
1020,Cardcaptor Sakura Clear Card,/shows/cardcaptor-sakura-clear-card
60,Cardfight!! Vanguard,/shows/cardfight-vanguard
1101,Cardfight!! Vanguard (2018),/shows/cardfight-vanguard-2018
60,Cardfight!! Vanguard (Asia Circuit),/shows/cardfight-vanguard
1262,Cardfight!! Vanguard – Zoku Koukousei-hen,/shows/cardfight-vanguard-zoku-koukousei-hen
62,Cardfight!! Vanguard G,/shows/cardfight-vanguard-g
580,Cardfight!! Vanguard G GIRS Crisis,/shows/cardfight-vanguard-g-girs-crisis
762,Cardfight!! Vanguard G NEXT,/shows/cardfight-vanguard-g-next
689,Cardfight!! Vanguard G Stride Gate,/shows/cardfight-vanguard-g-stride-gate
992,Cardfight!! Vanguard G Z,/shows/cardfight-vanguard-g-z
60,Cardfight!! Vanguard Legion Mate,/shows/cardfight-vanguard
60,Cardfight!! Vanguard Link Joker,/shows/cardfight-vanguard
923,Castlevania,/shows/castlevania
1194,Castlevania S2,/shows/castlevania-s2
931,Centaur no Nayami,/shows/centaur-no-nayami
814,Chain Chronicle – Haecceitas no Hikari (Movie),/shows/chain-chronicle-haecceitas-no-hikari-movie
831,Chain Chronicle – Haecceitas no Hikari (TV),/shows/chain-chronicle-haecceitas-no-hikari-tv
65,Chaos Dragon,/shows/chaos-dragon
845,ChaoS;Child,/shows/chaoschild
66,Charlotte,/shows/charlotte
778,Cheating Craft,/shows/cheating-craft
716,Cheer Danshi!!,/shows/cheer-danshi
1089,Chi’s Sweet Adventure S2,/shows/chis-sweet-adventure-s2
67,Chihayafuru,/shows/chihayafuru
68,Chihayafuru S2,/shows/chihayafuru-s2
1339,Chihayafuru S3,/shows/chihayafuru-s3
1117,Chio-chan no Tsuugakuro,/shows/chio-chan-no-tsuugakuro
836,Chiruran – Nibun no Ichi,/shows/chiruran-nibun-no-ichi
69,Chitose Get You!,/shows/chitose-get-you
1309,Choyoyu,/shows/choyoyu
1311,Chuubyou Gekihatsu Boy,/shows/chuubyou-gekihatsu-boy
1109,Chuukan Kanriroku Tonegawa,/shows/chuukan-kanriroku-tonegawa
70,Chuunibyou demo Koi ga Shitai! Ren,/shows/chuunibyou-demo-koi-ga-shitai-ren
1017,Citrus,/shows/citrus
798,ClassicaLoid,/shows/classicaloid
982,ClassicaLoid S2,/shows/classicaloid-s2
71,Classroom Crisis,/shows/classroom-crisis
938,Clione no Akari,/shows/clione-no-akari
876,Clockwork Planet,/shows/clockwork-planet
72,Code Breaker,/shows/code-breaker
980,Code Realize – Sousei no Himegimi,/shows/code-realize-sousei-no-himegimi
73,Comet Lucifer,/shows/comet-lucifer
1072,Comic Girls,/shows/comic-girls
1186,Conception,/shows/conception
74,Concrete Revolutio,/shows/concrete-revolutio
1286,Cop Craft,/shows/cop-craft
75,Coppelion,/shows/coppelion
76,Croisee in a Foreign Labyrinth,/shows/croisee-in-a-foreign-labyrinth
77,Cross Ange,/shows/cross-ange
78,Cuticle Detective Inaba,/shows/cuticle-detective-inaba
